City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
204,Pandan,PH,14.0453,124.1694,83.07,76,100,12.26,heavy intensity rain,2022-06-28 03:53:02
205,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,66.79,56,20,13.42,few clouds,2022-06-28 03:57:56
206,Rochester,US,43.1548,-77.6156,63.09,79,0,3.44,clear sky,2022-06-28 03:53:49
207,Haines Junction,CA,60.7522,-137.5108,74.25,39,100,1.74,overcast clouds,2022-06-28 03:51:30
208,Ust-Ilimsk,RU,58.0006,102.6619,88.45,37,88,6.49,overcast clouds,2022-06-28 03:57:57
209,Carlisle,US,40.2015,-77.1889,66.15,62,0,6.82,clear sky,2022-06-28 03:57:57
210,Lompoc,US,34.6391,-120.4579,71.78,91,0,10.36,mist,2022-06-28 03:45:55
211,Jiangyou,CN,31.7667,104.7167,89.58,46,1,4.65,clear sky,2022-06-28 03:57:58
212,Xuddur,SO,4.1213,43.8894,69.33,82,100,19.17,overcast clouds,2022-06-28 03:57:58
213,Dhidhdhoo,MV,6.8833,73.1,82.44,77,90,14.29,heavy intensity rain,2022-06-28 03:56:18
214,Kloulklubed,PW,7.0419,134.2556,81.46,77,100,9.26,overcast clouds,2022-06-28 03:50:13
215,Tahoua,NE,14.8888,5.2692,86.86,41,100,8.79,overcast clouds,2022-06-28 03:57:59
216,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,58,100,9.22,overcast clouds,2022-06-28 03:50:43
217,Kozhva,RU,65.1073,57.0459,44.71,68,100,16.08,overcast clouds,2022-06-28 03:57:59
218,Eucaliptus,BO,-17.5833,-67.5167,40.37,39,3,4.85,clear sky,2022-06-28 03:58:00
219,Alta Floresta,BR,-9.8756,-56.0861,65.77,49,0,2.35,clear sky,2022-06-28 03:48:48
220,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,89,12,4.99,few clouds,2022-06-28 03:51:29
221,Andenes,NO,69.3143,16.1194,67.98,73,64,5.75,broken clouds,2022-06-28 03:58:00
222,Inhambane,MZ,-23.865,35.3833,68.0,68,75,15.01,broken clouds,2022-06-28 03:58:00
223,Amga,RU,60.8953,131.9608,71.47,78,90,7.45,light rain,2022-06-28 03:58:01
224,Awbari,LY,26.5921,12.7805,84.67,18,0,8.55,clear sky,2022-06-28 03:58:01
225,Flinders,AU,-34.5833,150.8552,62.38,60,76,4.0,broken clouds,2022-06-28 03:51:59
226,Leningradskiy,RU,69.3833,178.4167,44.65,67,28,14.25,scattered clouds,2022-06-28 03:50:05
227,Carnarvon,AU,-24.8667,113.6333,72.55,31,0,15.57,clear sky,2022-06-28 03:50:16
228,Inuvik,CA,68.3499,-133.7218,76.21,42,100,6.91,overcast clouds,2022-06-28 03:58:02
229,Isla Vista,US,34.4133,-119.861,88.34,59,0,0.0,clear sky,2022-06-28 03:52:25
230,Hambantota,LK,6.1241,81.1185,86.34,74,20,12.66,few clouds,2022-06-28 03:58:02
231,Lovozero,RU,68.005,35.0117,51.91,63,0,5.35,clear sky,2022-06-28 03:58:03
232,Kaupanger,NO,61.1845,7.2404,54.1,98,100,3.65,overcast clouds,2022-06-28 03:58:03
233,Teya,RU,60.3778,92.6267,63.05,95,100,12.55,light rain,2022-06-28 03:58:04
234,Scalea,IT,39.813,15.7956,82.8,43,3,3.31,clear sky,2022-06-28 03:58:04
235,Oriximina,BR,-1.7656,-55.8661,74.01,93,86,3.98,overcast clouds,2022-06-28 03:53:45
236,Ponta Do Sol,PT,32.6667,-17.1,67.01,65,19,7.38,few clouds,2022-06-28 03:51:31
237,Bontang,ID,0.1333,117.5,86.27,66,58,6.82,broken clouds,2022-06-28 03:58:05
238,Mount Isa,AU,-20.7333,139.5,73.17,31,100,10.36,overcast clouds,2022-06-28 03:58:05
239,Churapcha,RU,62.0025,132.4325,73.65,61,96,11.25,light rain,2022-06-28 03:58:05
240,Rancho Palos Verdes,US,33.7445,-118.387,83.43,86,5,4.0,clear sky,2022-06-28 03:57:19
241,Boa Vista,BR,2.8197,-60.6733,75.18,88,20,4.61,few clouds,2022-06-28 03:54:14
242,Neryungri,RU,56.6709,124.6491,74.53,49,82,5.5,light rain,2022-06-28 03:52:36
243,Victor Harbor,AU,-35.5667,138.6167,60.01,52,4,1.01,clear sky,2022-06-28 03:58:06
244,Tambacounda,SN,13.7539,-13.7586,86.05,74,0,6.91,clear sky,2022-06-28 03:58:06
245,Ilo,PE,-17.6394,-71.3375,60.71,85,40,10.67,scattered clouds,2022-06-28 03:58:07
246,Gat,IL,31.61,34.7642,73.4,100,0,3.51,clear sky,2022-06-28 03:47:03
247,Quatre Cocos,MU,-20.2078,57.7625,69.91,60,85,19.37,overcast clouds,2022-06-28 03:58:07
248,Nhulunbuy,AU,-12.2333,136.7667,79.41,83,75,16.11,broken clouds,2022-06-28 03:58:08
249,Balabac,PH,7.9868,117.0645,83.32,75,100,12.93,overcast clouds,2022-06-28 03:58:08
250,Saldanha,ZA,-33.0117,17.9442,50.05,56,0,9.66,clear sky,2022-06-28 03:50:10
251,Marsh Harbour,BS,26.5412,-77.0636,80.01,76,99,11.41,overcast clouds,2022-06-28 03:58:08
252,Upernavik,GL,72.7868,-56.1549,36.63,86,6,3.8,clear sky,2022-06-28 03:50:24
