City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Pacifica,US,69.19,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
346,Guiglo,CI,72.09,overcast clouds,6.5456,-7.4966,Hotel GBAOLY 2
347,Airai,TL,67.69,broken clouds,-8.9266,125.4092,
349,North Bend,US,58.91,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
350,Dergachi,RU,72.72,scattered clouds,51.2328,48.7659,
351,Aleksandrovka,UA,71.38,overcast clouds,46.8383,32.7612,
352,Katsuura,JP,81.68,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
353,Sampit,ID,81.3,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
355,Rongcheng,CN,84.2,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
356,Weiser,US,85.86,few clouds,44.251,-116.9693,The Colonial Motel
357,Sarankhola,BD,88.39,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
358,Namatanai,PG,85.19,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
359,Lecce,IT,77.7,clear sky,40.2167,18.1667,Hotel Hermitage
360,Acurenam,GQ,67.64,overcast clouds,1.0322,10.6488,
361,Buinsk,RU,54.1,clear sky,54.95,48.2833,"Landysh, Gostinitsa"
362,San Jose,US,73.47,clear sky,37.3394,-121.895,The Westin San Jose
363,Bluefields,NI,75.9,broken clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
364,Udachnyy,RU,55.45,broken clouds,66.4167,112.4,Severnoye Siyaniye
365,Payakumbuh,ID,81.3,overcast clouds,-0.2202,100.6308,Dalimo Homestay
366,Sinnamary,GF,75.51,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
368,Chokurdakh,RU,51.53,overcast clouds,70.6333,147.9167,
369,Uuemoisa,EE,71.92,overcast clouds,58.9394,23.5894,Fra Mare Thalasso Spa
370,Atikokan,CA,59.58,light rain,48.7555,-91.6216,Quetico Inn (formerly Radisson)
371,Krasnyy Yar,RU,73.33,overcast clouds,46.5331,48.3456,Cottege near Ufa
372,Kruisfontein,ZA,53.58,clear sky,-34.0033,24.7314,Oyster Bay House Rental
373,Trairi,BR,75.74,clear sky,-3.2778,-39.2689,janelas do mar
374,Mareeba,AU,68.72,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
375,Acarau,BR,77.45,scattered clouds,-2.8856,-40.12,castelo pizzaria
376,Yulara,AU,61.43,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
377,Navirai,BR,58.98,overcast clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
378,Warrington,GB,56.44,overcast clouds,53.3925,-2.5802,Villaggio Hotel
379,Kieta,PG,83.68,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
