City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
657,Oriximina,BR,-1.7656,-55.8661,74.01,93,86,3.98,overcast clouds,2022-06-28 03:53:45
658,Nikolsk,RU,53.7189,46.0712,62.42,87,7,10.04,clear sky,2022-06-28 03:53:45
659,Malanje,AO,-9.5402,16.341,55.9,55,9,6.2,clear sky,2022-06-28 03:53:45
660,Cam Ranh,VN,11.9214,109.1591,90.1,58,100,5.12,overcast clouds,2022-06-28 03:53:46
661,Kirkkonummi,FI,60.1238,24.4385,76.78,78,21,6.51,few clouds,2022-06-28 03:53:46
662,Bhadasar,IN,28.2833,74.3167,96.73,41,96,17.74,overcast clouds,2022-06-28 03:53:46
663,Taoudenni,ML,22.6783,-3.9836,95.43,9,1,13.2,clear sky,2022-06-28 03:53:47
664,Pomabamba,PE,-8.8333,-77.4667,45.54,84,4,0.74,clear sky,2022-06-28 03:53:47
665,Tumen,CN,42.9661,129.8425,68.32,98,100,1.12,moderate rain,2022-06-28 03:53:47
666,Zapolyarnyy,RU,69.4154,30.8136,60.08,57,2,11.88,clear sky,2022-06-28 03:53:48
667,Kiunga,PG,-6.1219,141.2906,87.55,61,90,1.68,moderate rain,2022-06-28 03:53:48
668,Mnogovershinnyy,RU,53.9353,139.9242,72.37,48,5,4.54,clear sky,2022-06-28 03:53:48
669,Tukrah,LY,32.5341,20.5791,76.44,66,0,6.67,clear sky,2022-06-28 03:53:49
670,Hearst,CA,49.6835,-83.6665,57.45,63,11,10.89,few clouds,2022-06-28 03:53:49
671,Lobatse,BW,-25.2167,25.6667,42.76,82,0,5.14,clear sky,2022-06-28 03:53:49
672,Iisalmi,FI,63.5592,27.1907,54.77,90,99,8.46,moderate rain,2022-06-28 03:53:50
673,Ponazyrevo,RU,58.3578,46.3142,51.1,56,3,9.17,clear sky,2022-06-28 03:53:50
674,Roald,NO,62.5833,6.1333,60.17,94,75,3.44,light rain,2022-06-28 03:53:50
675,Miranda,CO,3.2499,-76.2281,68.13,94,63,3.33,broken clouds,2022-06-28 03:53:51
676,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,100,100,9.22,fog,2022-06-28 03:53:51
677,Smolensk,RU,55.0,33.0,71.47,76,33,4.85,scattered clouds,2022-06-28 03:53:52
678,Puerto De La Cruz,ES,28.414,-16.5487,71.38,89,76,1.99,broken clouds,2022-06-28 03:53:52
679,Bogorodskoye,RU,56.55,37.8833,62.65,63,7,9.48,clear sky,2022-06-28 03:53:52
680,Palafrugell,ES,41.9174,3.1631,68.27,19,73,8.21,broken clouds,2022-06-28 03:52:14
681,Unity,CA,52.4501,-109.1682,56.25,83,63,5.5,broken clouds,2022-06-28 03:53:53
682,La Cruz,MX,23.9167,-106.9,82.0,76,84,9.82,broken clouds,2022-06-28 03:53:53
683,Osorno,CL,-40.5667,-73.15,50.31,81,100,13.8,overcast clouds,2022-06-28 03:53:54
684,Springdale,US,36.1867,-94.1288,69.28,74,27,5.12,scattered clouds,2022-06-28 03:53:54
685,Vagay,RU,57.9375,69.0217,51.08,87,99,3.02,overcast clouds,2022-06-28 03:53:54
686,Vestmannaeyjar,IS,63.4427,-20.2734,49.98,89,100,8.88,overcast clouds,2022-06-28 03:53:55
687,Ranau,MY,5.9538,116.6641,85.19,60,48,0.78,scattered clouds,2022-06-28 03:53:55
688,Ohara,JP,35.25,140.3833,82.17,73,96,16.31,overcast clouds,2022-06-28 03:53:55
689,Ancud,CL,-41.8697,-73.8203,50.23,90,100,29.19,moderate rain,2022-06-28 03:53:56
690,Surt,LY,31.2089,16.5887,78.87,56,0,9.1,clear sky,2022-06-28 03:53:56
691,Ravar,IR,31.2656,56.8055,91.81,9,2,3.04,clear sky,2022-06-28 03:53:56
692,Semporna,MY,4.4818,118.6112,87.44,63,79,5.19,light rain,2022-06-28 03:53:57
693,Umea,SE,63.8284,20.2597,66.9,94,0,3.44,clear sky,2022-06-28 03:52:28
694,Verkhnevilyuysk,RU,63.4453,120.3167,65.41,42,94,4.25,overcast clouds,2022-06-28 03:53:57
695,Chegdomyn,RU,51.1167,133.0167,77.76,52,100,3.8,overcast clouds,2022-06-28 03:53:57
696,Longonjo,AO,-12.9067,15.2533,48.72,66,1,4.12,clear sky,2022-06-28 03:53:58
697,Doha,QA,25.2867,51.5333,93.18,47,15,13.8,few clouds,2022-06-28 03:51:17
698,Muborak,UZ,39.2553,65.1528,100.94,14,0,21.7,clear sky,2022-06-28 03:53:58
699,Kattivakkam,IN,13.2167,80.3167,86.09,74,93,7.23,overcast clouds,2022-06-28 03:53:59
700,Te Anau,NZ,-45.4167,167.7167,41.05,84,14,0.6,few clouds,2022-06-28 03:53:59
701,Mehran,IR,33.1222,46.1646,90.86,19,0,12.08,clear sky,2022-06-28 03:53:59
702,Azuaga,ES,38.2667,-5.6833,57.96,60,0,4.85,clear sky,2022-06-28 03:54:00
703,Penzance,GB,50.1186,-5.5371,57.88,84,83,26.37,broken clouds,2022-06-28 03:54:00
704,Lianran,CN,24.9227,102.485,64.94,90,100,2.04,overcast clouds,2022-06-28 03:54:00
705,Kieta,PG,-6.2167,155.6333,83.68,65,90,3.67,overcast clouds,2022-06-28 03:54:01
706,Nipawin,CA,53.3668,-104.0009,57.24,72,75,6.91,broken clouds,2022-06-28 03:54:01
